SYMBOL,PX_LAST,PX_SETTLE,EXPIRE_DT,MONEYNESS,,
TJWN25C3 111.750 Comdty,0.007,0.007,7/17/2025,OTM,,
TJWN25C3 111.500 Comdty,0.007,0.007,7/17/2025,OTM,,
TJWN25C3 111.250 Comdty,0.007,0.007,7/17/2025,OTM,,
TJWN25C3 111.000 Comdty,0.007,0.007,7/17/2025,OTM,,
TJWN25C3 110.750 Comdty,0.007,0.007,7/17/2025,OTM,,
TJWN25P3 110.750 Comdty,0.234375,0.234375,7/17/2025,OTM,,
TJWN25P3 110.500 Comdty,0.007,0.007,7/17/2025,OTM,,
TJWN25P3 110.250 Comdty,0.007,0.007,7/17/2025,OTM,,
TJWN25P3 110.000 Comdty,0.007,0.007,7/17/2025,OTM,,
TJWN25P3 109.750 Comdty,0.007,0.007,7/17/2025,OTM,,
TJWN25P3 109.500 Comdty,0.007,0.007,7/17/2025,OTM,,
TJWN25P3 109.250 Comdty,0.007,0.007,7/17/2025,OTM,,
TJWN25C3 109.250 Comdty,1.265625,1.265625,7/17/2025,ITM,,
TJWN25C3 109.500 Comdty,1.015625,1.015625,7/17/2025,ITM,,
TJWN25C3 109.750 Comdty,0.765625,0.765625,7/17/2025,ITM,,
TJWN25C3 110.000 Comdty,0.515625,0.515625,7/17/2025,ITM,,
TJWN25C3 110.250 Comdty,0.265625,0.265625,7/17/2025,ITM,,
TJWN25C3 110.500 Comdty,0.015625,0.015625,7/17/2025,ITM,,
TJWN25C3 110.750 Comdty,0.007,0.007,7/17/2025,ITM,,
TJWN25P3 110.750 Comdty,0.234375,0.234375,7/17/2025,ITM,,
TJWN25P3 111.000 Comdty,0.484375,0.484375,7/17/2025,ITM,,
TJWN25P3 111.250 Comdty,0.734375,0.734375,7/17/2025,ITM,,
TJWN25P3 111.500 Comdty,0.984375,0.984375,7/17/2025,ITM,,
TJWN25P3 111.750 Comdty,1.234375,1.234375,7/17/2025,ITM,,
TJWN25P3 112.000 Comdty,1.484375,1.484375,7/17/2025,ITM,,
TJWN25P3 112.250 Comdty,1.734375,1.734375,7/17/2025,ITM,,
3MN5C 112.250 Comdty,0.0,0.0,7/18/2025,OTM,,
3MN5C 112.000 Comdty,0.0,0.0,7/18/2025,OTM,,
3MN5C 111.750 Comdty,0.0,0.0,7/18/2025,OTM,,
3MN5C 111.500 Comdty,0.0,0.0,7/18/2025,OTM,,
3MN5C 111.250 Comdty,0.015625,0.015625,7/18/2025,OTM,,
3MN5C 111.000 Comdty,0.0,0.046875,7/18/2025,OTM,,
3MN5C 110.750 Comdty,0.03125,0.125,7/18/2025,OTM,,
3MN5P 110.750 Comdty,0.1875,0.25,7/18/2025,OTM,,
3MN5P 110.500 Comdty,0.078125,0.125,7/18/2025,OTM,,
3MN5P 110.250 Comdty,0.015625,0.046875,7/18/2025,OTM,,
3MN5P 110.000 Comdty,0.0,0.015625,7/18/2025,OTM,,
3MN5P 109.750 Comdty,0.0,0.0,7/18/2025,OTM,,
3MN5P 109.500 Comdty,0.0,0.0,7/18/2025,OTM,,
3MN5P 109.250 Comdty,0.0,0.0,7/18/2025,OTM,,
3MN5C 109.250 Comdty,1.28125,1.375,7/18/2025,ITM,,
3MN5C 109.500 Comdty,1.03125,1.125,7/18/2025,ITM,,
3MN5C 109.750 Comdty,0.78125,0.875,7/18/2025,ITM,,
3MN5C 110.000 Comdty,0.46875,0.640625,7/18/2025,ITM,,
3MN5C 110.250 Comdty,0.28125,0.421875,7/18/2025,ITM,,
3MN5C 110.500 Comdty,0.125,0.25,7/18/2025,ITM,,
3MN5C 110.750 Comdty,0.03125,0.125,7/18/2025,ITM,,
3MN5P 110.750 Comdty,0.1875,0.25,7/18/2025,ITM,,
3MN5P 111.000 Comdty,0.390625,0.421875,7/18/2025,ITM,,
3MN5P 111.250 Comdty,0.734375,0.640625,7/18/2025,ITM,,
3MN5P 111.500 Comdty,0.875,0.875,7/18/2025,ITM,,
3MN5P 111.750 Comdty,1.125,1.125,7/18/2025,ITM,,
3MN5P 112.000 Comdty,1.375,1.375,7/18/2025,ITM,,
3MN5P 112.250 Comdty,1.71875,1.625,7/18/2025,ITM,,
VBYN25C3 112.250 Comdty,0.001,0.001,7/21/2025,OTM,,
VBYN25C3 112.000 Comdty,0.001,0.001,7/21/2025,OTM,,
VBYN25C3 111.750 Comdty,0.001,0.001,7/21/2025,OTM,,
VBYN25C3 111.500 Comdty,0.015625,0.015625,7/21/2025,OTM,,
VBYN25C3 111.250 Comdty,0.015625,0.03125,7/21/2025,OTM,,
VBYN25C3 111.000 Comdty,0.03125,0.078125,7/21/2025,OTM,,
VBYN25C3 110.750 Comdty,0.0625,0.15625,7/21/2025,OTM,,
VBYN25P3 110.750 Comdty,0.28125,0.28125,7/21/2025,OTM,,
VBYN25P3 110.250 Comdty,0.0625,0.078125,7/21/2025,OTM,,
VBYN25P3 110.250 Comdty,0.0625,0.078125,7/21/2025,OTM,,
VBYN25P3 110.000 Comdty,0.015625,0.03125,7/21/2025,OTM,,
VBYN25P3 109.750 Comdty,0.03125,0.015625,7/21/2025,OTM,,
VBYN25P3 109.500 Comdty,0.001,0.001,7/21/2025,OTM,,
VBYN25P3 109.250 Comdty,0.001,0.001,7/21/2025,OTM,,
VBYN25C3 109.250 Comdty,1.34375,1.375,7/21/2025,ITM,,
VBYN25C3 109.500 Comdty,1.125,1.125,7/21/2025,ITM,,
VBYN25C3 109.750 Comdty,0.734375,0.890625,7/21/2025,ITM,,
VBYN25C3 110.000 Comdty,0.609375,0.65625,7/21/2025,ITM,,
VBYN25C3 110.250 Comdty,0.390625,0.453125,7/21/2025,ITM,,
VBYN25C3 110.500 Comdty,0.171875,0.28125,7/21/2025,ITM,,
VBYN25C3 110.750 Comdty,0.0625,0.15625,7/21/2025,ITM,,
VBYN25P3 110.750 Comdty,0.28125,0.28125,7/21/2025,ITM,,
VBYN25P3 111.250 Comdty,0.65625,0.65625,7/21/2025,ITM,,
VBYN25P3 111.250 Comdty,0.65625,0.65625,7/21/2025,ITM,,
VBYN25P3 111.500 Comdty,0.75,0.890625,7/21/2025,ITM,,
VBYN25P3 111.750 Comdty,1.125,1.125,7/21/2025,ITM,,
VBYN25P3 112.000 Comdty,1.390625,1.375,7/21/2025,ITM,,
VBYN25P3 112.250 Comdty,1.625,1.625,7/21/2025,ITM,,
TJPN25C4 112.250 Comdty,0.001,0.001,7/22/2025,OTM,,
TJPN25C4 112.000 Comdty,0.001,0.001,7/22/2025,OTM,,
TJPN25C4 111.750 Comdty,0.015625,0.015625,7/22/2025,OTM,,
TJPN25C4 111.500 Comdty,0.015625,0.03125,7/22/2025,OTM,,
TJPN25C4 111.250 Comdty,0.046875,0.0625,7/22/2025,OTM,,
TJPN25C4 111.000 Comdty,0.09375,0.09375,7/22/2025,OTM,,
TJPN25C4 110.750 Comdty,0.1875,0.171875,7/22/2025,OTM,,
TJPN25P4 110.750 Comdty,0.25,0.296875,7/22/2025,OTM,,
TJPN25P4 110.250 Comdty,0.078125,0.109375,7/22/2025,OTM,,
TJPN25P4 110.250 Comdty,0.078125,0.109375,7/22/2025,OTM,,
TJPN25P4 110.000 Comdty,0.03125,0.0625,7/22/2025,OTM,,
TJPN25P4 109.750 Comdty,0.03125,0.03125,7/22/2025,OTM,,
TJPN25P4 109.500 Comdty,0.015625,0.015625,7/22/2025,OTM,,
TJPN25P4 109.250 Comdty,0.001,0.001,7/22/2025,OTM,,
TJPN25C4 109.250 Comdty,1.375,1.375,7/22/2025,ITM,,
TJPN25C4 109.500 Comdty,0.96875,1.140625,7/22/2025,ITM,,
TJPN25C4 109.750 Comdty,0.828125,0.90625,7/22/2025,ITM,,
TJPN25C4 110.000 Comdty,0.515625,0.6875,7/22/2025,ITM,,
TJPN25C4 110.250 Comdty,0.359375,0.484375,7/22/2025,ITM,,
TJPN25C4 110.500 Comdty,0.3125,0.3125,7/22/2025,ITM,,
TJPN25C4 110.750 Comdty,0.1875,0.171875,7/22/2025,ITM,,
TJPN25P4 110.750 Comdty,0.25,0.296875,7/22/2025,ITM,,
TJPN25P4 111.250 Comdty,0.65625,0.6875,7/22/2025,ITM,,
TJPN25P4 111.250 Comdty,0.65625,0.6875,7/22/2025,ITM,,
TJPN25P4 111.500 Comdty,0.90625,0.90625,7/22/2025,ITM,,
TJPN25P4 111.750 Comdty,1.140625,1.140625,7/22/2025,ITM,,
TJPN25P4 112.000 Comdty,1.375,1.375,7/22/2025,ITM,,
TJPN25P4 112.250 Comdty,1.671875,1.625,7/22/2025,ITM,,
TYWN25C4 112.250 Comdty,0.0,0.0,7/23/2025,OTM,,
TYWN25C4 112.000 Comdty,0.015625,0.015625,7/23/2025,OTM,,
TYWN25C4 111.750 Comdty,0.03125,0.03125,7/23/2025,OTM,,
TYWN25C4 111.500 Comdty,0.03125,0.03125,7/23/2025,OTM,,
TYWN25C4 111.250 Comdty,0.03125,0.0625,7/23/2025,OTM,,
TYWN25C4 111.000 Comdty,0.0625,0.125,7/23/2025,OTM,,
TYWN25C4 110.750 Comdty,0.1875,0.203125,7/23/2025,OTM,,
TYWN25P4 110.750 Comdty,0.265625,0.328125,7/23/2025,OTM,,
TYWN25P4 110.250 Comdty,0.109375,0.125,7/23/2025,OTM,,
TYWN25P4 110.250 Comdty,0.109375,0.125,7/23/2025,OTM,,
TYWN25P4 110.000 Comdty,0.0625,0.078125,7/23/2025,OTM,,
TYWN25P4 109.750 Comdty,0.015625,0.046875,7/23/2025,OTM,,
TYWN25P4 109.500 Comdty,0.03125,0.03125,7/23/2025,OTM,,
TYWN25P4 109.250 Comdty,0.015625,0.015625,7/23/2025,OTM,,
TYWN25C4 109.250 Comdty,1.390625,1.390625,7/23/2025,ITM,,
TYWN25C4 109.500 Comdty,1.046875,1.15625,7/23/2025,ITM,,
TYWN25C4 109.750 Comdty,0.890625,0.921875,7/23/2025,ITM,,
TYWN25C4 110.000 Comdty,0.53125,0.703125,7/23/2025,ITM,,
TYWN25C4 110.250 Comdty,0.546875,0.5,7/23/2025,ITM,,
TYWN25C4 110.500 Comdty,0.234375,0.328125,7/23/2025,ITM,,
TYWN25C4 110.750 Comdty,0.1875,0.203125,7/23/2025,ITM,,
TYWN25P4 110.750 Comdty,0.265625,0.328125,7/23/2025,ITM,,
TYWN25P4 111.250 Comdty,0.625,0.6875,7/23/2025,ITM,,
TYWN25P4 111.250 Comdty,0.625,0.6875,7/23/2025,ITM,,
TYWN25P4 111.500 Comdty,0.953125,0.90625,7/23/2025,ITM,,
TYWN25P4 111.750 Comdty,1.15625,1.15625,7/23/2025,ITM,,
TYWN25P4 112.000 Comdty,1.390625,1.390625,7/23/2025,ITM,,
TYWN25P4 112.250 Comdty,1.625,1.625,7/23/2025,ITM,,
TJWN25C4 112.250 Comdty,0.015625,0.015625,7/24/2025,OTM,,
TJWN25C4 112.000 Comdty,0.03125,0.03125,7/24/2025,OTM,,
TJWN25C4 111.750 Comdty,0.03125,0.03125,7/24/2025,OTM,,
TJWN25C4 111.500 Comdty,0.03125,0.0625,7/24/2025,OTM,,
TJWN25C4 111.250 Comdty,0.046875,0.09375,7/24/2025,OTM,,
TJWN25C4 111.000 Comdty,0.15625,0.140625,7/24/2025,OTM,,
TJWN25C4 110.750 Comdty,0.1875,0.234375,7/24/2025,OTM,,
TJWN25P4 110.750 Comdty,0.3125,0.359375,7/24/2025,OTM,,
TJWN25P4 110.250 Comdty,0.109375,0.15625,7/24/2025,OTM,,
TJWN25P4 110.250 Comdty,0.109375,0.15625,7/24/2025,OTM,,
TJWN25P4 110.000 Comdty,0.0625,0.109375,7/24/2025,OTM,,
TJWN25P4 109.750 Comdty,0.0625,0.0625,7/24/2025,OTM,,
TJWN25P4 109.500 Comdty,0.03125,0.03125,7/24/2025,OTM,,
TJWN25P4 109.250 Comdty,0.03125,0.015625,7/24/2025,OTM,,
TJWN25C4 109.250 Comdty,1.328125,1.390625,7/24/2025,ITM,,
TJWN25C4 109.500 Comdty,1.15625,1.15625,7/24/2025,ITM,,
TJWN25C4 109.750 Comdty,0.859375,0.9375,7/24/2025,ITM,,
TJWN25C4 110.000 Comdty,0.640625,0.734375,7/24/2025,ITM,,
TJWN25C4 110.250 Comdty,0.453125,0.53125,7/24/2025,ITM,,
TJWN25C4 110.500 Comdty,0.328125,0.359375,7/24/2025,ITM,,
TJWN25C4 110.750 Comdty,0.1875,0.234375,7/24/2025,ITM,,
TJWN25P4 110.750 Comdty,0.3125,0.359375,7/24/2025,ITM,,
TJWN25P4 111.250 Comdty,0.78125,0.71875,7/24/2025,ITM,,
TJWN25P4 111.250 Comdty,0.78125,0.71875,7/24/2025,ITM,,
TJWN25P4 111.500 Comdty,1.0,0.9375,7/24/2025,ITM,,
TJWN25P4 111.750 Comdty,1.078125,1.15625,7/24/2025,ITM,,
TJWN25P4 112.000 Comdty,1.40625,1.40625,7/24/2025,ITM,,
TJWN25P4 112.250 Comdty,1.734375,1.640625,7/24/2025,ITM,,
TYQ5C 112.250 Comdty,0.015625,0.03125,7/25/2025,OTM,,
TYQ5C 112.000 Comdty,0.015625,0.03125,7/25/2025,OTM,,
TYQ5C 111.750 Comdty,0.03125,0.046875,7/25/2025,OTM,,
TYQ5C 111.500 Comdty,0.03125,0.0625,7/25/2025,OTM,,
TYQ5C 111.250 Comdty,0.0625,0.109375,7/25/2025,OTM,,
TYQ5C 111.000 Comdty,0.109375,0.171875,7/25/2025,OTM,,
TYQ5C 110.750 Comdty,0.1875,0.265625,7/25/2025,OTM,,
TYQ5P 110.750 Comdty,0.359375,0.390625,7/25/2025,OTM,,
TYQ5P 110.250 Comdty,0.171875,0.171875,7/25/2025,OTM,,
TYQ5P 110.250 Comdty,0.171875,0.171875,7/25/2025,OTM,,
TYQ5P 110.000 Comdty,0.09375,0.109375,7/25/2025,OTM,,
TYQ5P 109.750 Comdty,0.0625,0.078125,7/25/2025,OTM,,
TYQ5P 109.500 Comdty,0.03125,0.046875,7/25/2025,OTM,,
TYQ5P 109.250 Comdty,0.03125,0.03125,7/25/2025,OTM,,
TYQ5C 109.250 Comdty,1.46875,1.40625,7/25/2025,ITM,,
TYQ5C 109.500 Comdty,1.0625,1.171875,7/25/2025,ITM,,
TYQ5C 109.750 Comdty,0.828125,0.953125,7/25/2025,ITM,,
TYQ5C 110.000 Comdty,0.703125,0.734375,7/25/2025,ITM,,
TYQ5C 110.250 Comdty,0.546875,0.546875,7/25/2025,ITM,,
TYQ5C 110.500 Comdty,0.296875,0.390625,7/25/2025,ITM,,
TYQ5C 110.750 Comdty,0.1875,0.265625,7/25/2025,ITM,,
TYQ5P 110.750 Comdty,0.359375,0.390625,7/25/2025,ITM,,
TYQ5P 111.250 Comdty,0.71875,0.734375,7/25/2025,ITM,,
TYQ5P 111.250 Comdty,0.71875,0.734375,7/25/2025,ITM,,
TYQ5P 111.500 Comdty,0.9375,0.9375,7/25/2025,ITM,,
TYQ5P 111.750 Comdty,1.171875,1.171875,7/25/2025,ITM,,
TYQ5P 112.000 Comdty,1.46875,1.40625,7/25/2025,ITM,,
TYQ5P 112.250 Comdty,1.703125,1.65625,7/25/2025,ITM,,
