SYMBOL,PX_LAST,PX_SETTLE,EXPIRE_DT,MONEYNESS
TJPN25C3 112.250 Comdty,0.001,0.001,7/15/2025,OTM
TJPN25C3 112.000 Comdty,0.001,0.001,7/15/2025,OTM
TJPN25C3 111.750 Comdty,0.001,0.001,7/15/2025,OTM
TJPN25C3 111.500 Comdty,0.015625,0.015625,7/15/2025,OTM
TJPN25C3 111.250 Comdty,0.03125,0.03125,7/15/2025,OTM
TJPN25C3 111.000 Comdty,0.09375,0.09375,7/15/2025,OTM
TJPN25C3 110.750 Comdty,0.1875,0.1875,7/15/2025,OTM
TJPN25P3 110.750 Comdty,0.171875,0.171875,7/15/2025,OTM
TJPN25P3 110.500 Comdty,0.078125,0.078125,7/15/2025,OTM
TJPN25P3 110.250 Comdty,0.03125,0.03125,7/15/2025,OTM
TJPN25P3 110.000 Comdty,0.015625,0.015625,7/15/2025,OTM
TJPN25P3 109.750 Comdty,0.001,0.001,7/15/2025,OTM
TJPN25P3 109.500 Comdty,0.001,0.001,7/15/2025,OTM
TJPN25P3 109.250 Comdty,0.001,0.001,7/15/2025,OTM
TJPN25C3 109.250 Comdty,1.515625,1.515625,7/15/2025,ITM
TJPN25C3 109.500 Comdty,1.265625,1.265625,7/15/2025,ITM
TJPN25C3 109.750 Comdty,1.015625,1.015625,7/15/2025,ITM
TJPN25C3 110.000 Comdty,0.78125,0.78125,7/15/2025,ITM
TJPN25C3 110.250 Comdty,0.546875,0.546875,7/15/2025,ITM
TJPN25C3 110.500 Comdty,0.34375,0.34375,7/15/2025,ITM
TJPN25C3 110.750 Comdty,0.1875,0.1875,7/15/2025,ITM
TJPN25P3 110.750 Comdty,0.171875,0.171875,7/15/2025,ITM
TJPN25P3 111.000 Comdty,0.328125,0.328125,7/15/2025,ITM
TJPN25P3 111.250 Comdty,0.515625,0.515625,7/15/2025,ITM
TJPN25P3 111.500 Comdty,0.75,0.75,7/15/2025,ITM
TJPN25P3 111.750 Comdty,0.984375,0.984375,7/15/2025,ITM
TJPN25P3 112.000 Comdty,1.234375,1.234375,7/15/2025,ITM
TJPN25P3 112.250 Comdty,1.484375,1.484375,7/15/2025,ITM
TYWN25C3 112.250 Comdty,0,0,7/16/2025,OTM
TYWN25C3 112.000 Comdty,0,0,7/16/2025,OTM
TYWN25C3 111.750 Comdty,0.015625,0.015625,7/16/2025,OTM
TYWN25C3 111.500 Comdty,0.03125,0.03125,7/16/2025,OTM
TYWN25C3 111.250 Comdty,0.046875,0.046875,7/16/2025,OTM
TYWN25C3 111.000 Comdty,0.109375,0.109375,7/16/2025,OTM
TYWN25C3 110.750 Comdty,0.21875,0.21875,7/16/2025,OTM
TYWN25P3 110.750 Comdty,0.203125,0.203125,7/16/2025,OTM
TYWN25P3 110.500 Comdty,0.109375,0.109375,7/16/2025,OTM
TYWN25P3 110.250 Comdty,0.046875,0.046875,7/16/2025,OTM
TYWN25P3 110.000 Comdty,0.015625,0.015625,7/16/2025,OTM
TYWN25P3 109.750 Comdty,0,0,7/16/2025,OTM
TYWN25P3 109.500 Comdty,0,0,7/16/2025,OTM
TYWN25P3 109.250 Comdty,0,0,7/16/2025,OTM
TYWN25C3 109.250 Comdty,1.515625,1.515625,7/16/2025,ITM
TYWN25C3 109.500 Comdty,1.265625,1.265625,7/16/2025,ITM
TYWN25C3 109.750 Comdty,1.015625,1.015625,7/16/2025,ITM
TYWN25C3 110.000 Comdty,0.78125,0.78125,7/16/2025,ITM
TYWN25C3 110.250 Comdty,0.5625,0.5625,7/16/2025,ITM
TYWN25C3 110.500 Comdty,0.375,0.375,7/16/2025,ITM
TYWN25C3 110.750 Comdty,0.21875,0.21875,7/16/2025,ITM
TYWN25P3 110.750 Comdty,0.203125,0.203125,7/16/2025,ITM
TYWN25P3 111.000 Comdty,0.34375,0.34375,7/16/2025,ITM
TYWN25P3 111.250 Comdty,0.53125,0.53125,7/16/2025,ITM
TYWN25P3 111.500 Comdty,0.765625,0.765625,7/16/2025,ITM
TYWN25P3 111.750 Comdty,1,1,7/16/2025,ITM
TYWN25P3 112.000 Comdty,1.234375,1.234375,7/16/2025,ITM
TYWN25P3 112.250 Comdty,1.484375,1.484375,7/16/2025,ITM
TJWN25C3 112.250 Comdty,0.001,0.001,7/17/2025,OTM
TJWN25C3 112.000 Comdty,0.015625,0.015625,7/17/2025,OTM
TJWN25C3 111.750 Comdty,0.03125,0.03125,7/17/2025,OTM
TJWN25C3 111.500 Comdty,0.046875,0.046875,7/17/2025,OTM
TJWN25C3 111.250 Comdty,0.078125,0.078125,7/17/2025,OTM
TJWN25C3 111.000 Comdty,0.15625,0.15625,7/17/2025,OTM
TJWN25C3 110.750 Comdty,0.25,0.25,7/17/2025,OTM
TJWN25P3 110.750 Comdty,0.234375,0.234375,7/17/2025,OTM
TJWN25P3 110.500 Comdty,0.140625,0.140625,7/17/2025,OTM
TJWN25P3 110.250 Comdty,0.078125,0.078125,7/17/2025,OTM
TJWN25P3 110.000 Comdty,0.03125,0.03125,7/17/2025,OTM
TJWN25P3 109.750 Comdty,0.015625,0.015625,7/17/2025,OTM
TJWN25P3 109.500 Comdty,0.001,0.001,7/17/2025,OTM
TJWN25P3 109.250 Comdty,0.001,0.001,7/17/2025,OTM
TJWN25C3 109.250 Comdty,1.515625,1.515625,7/17/2025,ITM
TJWN25C3 109.500 Comdty,1.265625,1.265625,7/17/2025,ITM
TJWN25C3 109.750 Comdty,1.03125,1.03125,7/17/2025,ITM
TJWN25C3 110.000 Comdty,0.796875,0.796875,7/17/2025,ITM
TJWN25C3 110.250 Comdty,0.59375,0.59375,7/17/2025,ITM
TJWN25C3 110.500 Comdty,0.40625,0.40625,7/17/2025,ITM
TJWN25C3 110.750 Comdty,0.25,0.25,7/17/2025,ITM
TJWN25P3 110.750 Comdty,0.234375,0.234375,7/17/2025,ITM
TJWN25P3 111.000 Comdty,0.390625,0.390625,7/17/2025,ITM
TJWN25P3 111.250 Comdty,0.5625,0.5625,7/17/2025,ITM
TJWN25P3 111.500 Comdty,0.78125,0.78125,7/17/2025,ITM
TJWN25P3 111.750 Comdty,1.015625,1.015625,7/17/2025,ITM
TJWN25P3 112.000 Comdty,1.25,1.25,7/17/2025,ITM
TJWN25P3 112.250 Comdty,1.484375,1.484375,7/17/2025,ITM
3MN5C 112.250 Comdty,0,0,7/18/2025,OTM
3MN5C 112.000 Comdty,0.015625,0.015625,7/18/2025,OTM
3MN5C 111.750 Comdty,0.03125,0.03125,7/18/2025,OTM
3MN5C 111.500 Comdty,0.046875,0.046875,7/18/2025,OTM
3MN5C 111.250 Comdty,0.09375,0.09375,7/18/2025,OTM
3MN5C 111.000 Comdty,0.171875,0.171875,7/18/2025,OTM
3MN5C 110.750 Comdty,0.28125,0.28125,7/18/2025,OTM
3MN5P 110.750 Comdty,0.265625,0.265625,7/18/2025,OTM
3MN5P 110.500 Comdty,0.15625,0.15625,7/18/2025,OTM
3MN5P 110.250 Comdty,0.09375,0.09375,7/18/2025,OTM
3MN5P 110.000 Comdty,0.046875,0.046875,7/18/2025,OTM
3MN5P 109.750 Comdty,0.03125,0.03125,7/18/2025,OTM
3MN5P 109.500 Comdty,0.015625,0.015625,7/18/2025,OTM
3MN5P 109.250 Comdty,0,0,7/18/2025,OTM
3MN5C 109.250 Comdty,1.515625,1.515625,7/18/2025,ITM
3MN5C 109.500 Comdty,1.28125,1.28125,7/18/2025,ITM
3MN5C 109.750 Comdty,1.046875,1.046875,7/18/2025,ITM
3MN5C 110.000 Comdty,0.8125,0.8125,7/18/2025,ITM
3MN5C 110.250 Comdty,0.609375,0.609375,7/18/2025,ITM
3MN5C 110.500 Comdty,0.421875,0.421875,7/18/2025,ITM
3MN5C 110.750 Comdty,0.28125,0.28125,7/18/2025,ITM
3MN5P 110.750 Comdty,0.265625,0.265625,7/18/2025,ITM
3MN5P 111.000 Comdty,0.40625,0.40625,7/18/2025,ITM
3MN5P 111.250 Comdty,0.578125,0.578125,7/18/2025,ITM
3MN5P 111.500 Comdty,0.78125,0.78125,7/18/2025,ITM
3MN5P 111.750 Comdty,1.015625,1.015625,7/18/2025,ITM
3MN5P 112.000 Comdty,1.25,1.25,7/18/2025,ITM
3MN5P 112.250 Comdty,1.484375,1.484375,7/18/2025,ITM
VBYN25C3 112.250 Comdty,0.015625,0.015625,7/21/2025,OTM
VBYN25C3 112.000 Comdty,0.015625,0.015625,7/21/2025,OTM
VBYN25C3 111.750 Comdty,0.03125,0.03125,7/21/2025,OTM
VBYN25C3 111.500 Comdty,0.078125,0.078125,7/21/2025,OTM
VBYN25C3 111.250 Comdty,0.125,0.125,7/21/2025,OTM
VBYN25C3 111.000 Comdty,0.1875,0.1875,7/21/2025,OTM
VBYN25C3 110.750 Comdty,0.296875,0.296875,7/21/2025,OTM
VBYN25P3 110.750 Comdty,0.28125,0.28125,7/21/2025,OTM
VBYN25P3 110.250 Comdty,0.109375,0.109375,7/21/2025,OTM
VBYN25P3 110.250 Comdty,0.109375,0.109375,7/21/2025,OTM
VBYN25P3 110.000 Comdty,0.0625,0.0625,7/21/2025,OTM
VBYN25P3 109.750 Comdty,0.03125,0.03125,7/21/2025,OTM
VBYN25P3 109.500 Comdty,0.015625,0.015625,7/21/2025,OTM
VBYN25P3 109.250 Comdty,0.015625,0.015625,7/21/2025,OTM
VBYN25C3 109.250 Comdty,1.53125,1.53125,7/21/2025,ITM
VBYN25C3 109.500 Comdty,1.28125,1.28125,7/21/2025,ITM
VBYN25C3 109.750 Comdty,1.046875,1.046875,7/21/2025,ITM
VBYN25C3 110.000 Comdty,0.828125,0.828125,7/21/2025,ITM
VBYN25C3 110.250 Comdty,0.625,0.625,7/21/2025,ITM
VBYN25C3 110.500 Comdty,0.453125,0.453125,7/21/2025,ITM
VBYN25C3 110.750 Comdty,0.296875,0.296875,7/21/2025,ITM
VBYN25P3 110.750 Comdty,0.28125,0.28125,7/21/2025,ITM
VBYN25P3 111.250 Comdty,0.609375,0.609375,7/21/2025,ITM
VBYN25P3 111.250 Comdty,0.609375,0.609375,7/21/2025,ITM
VBYN25P3 111.500 Comdty,0.8125,0.8125,7/21/2025,ITM
VBYN25P3 111.750 Comdty,1.015625,1.015625,7/21/2025,ITM
VBYN25P3 112.000 Comdty,1.25,1.25,7/21/2025,ITM
VBYN25P3 112.250 Comdty,1.5,1.5,7/21/2025,ITM
TJPN25C4 112.250 Comdty,0.03125,0.03125,7/22/2025,OTM
TJPN25C4 112.000 Comdty,0.03125,0.03125,7/22/2025,OTM
TJPN25C4 111.750 Comdty,0.046875,0.046875,7/22/2025,OTM
TJPN25C4 111.500 Comdty,0.078125,0.078125,7/22/2025,OTM
TJPN25C4 111.250 Comdty,0.125,0.125,7/22/2025,OTM
TJPN25C4 111.000 Comdty,0.21875,0.21875,7/22/2025,OTM
TJPN25C4 110.750 Comdty,0.328125,0.328125,7/22/2025,OTM
TJPN25P4 110.750 Comdty,0.3125,0.3125,7/22/2025,OTM
TJPN25P4 110.250 Comdty,0.125,0.125,7/22/2025,OTM
TJPN25P4 110.250 Comdty,0.125,0.125,7/22/2025,OTM
TJPN25P4 110.000 Comdty,0.078125,0.078125,7/22/2025,OTM
TJPN25P4 109.750 Comdty,0.03125,0.03125,7/22/2025,OTM
TJPN25P4 109.500 Comdty,0.015625,0.015625,7/22/2025,OTM
TJPN25P4 109.250 Comdty,0.001,0.001,7/22/2025,OTM
TJPN25C4 109.250 Comdty,1.515625,1.515625,7/22/2025,ITM
TJPN25C4 109.500 Comdty,1.28125,1.28125,7/22/2025,ITM
TJPN25C4 109.750 Comdty,1.046875,1.046875,7/22/2025,ITM
TJPN25C4 110.000 Comdty,0.84375,0.84375,7/22/2025,ITM
TJPN25C4 110.250 Comdty,0.640625,0.640625,7/22/2025,ITM
TJPN25C4 110.500 Comdty,0.46875,0.46875,7/22/2025,ITM
TJPN25C4 110.750 Comdty,0.328125,0.328125,7/22/2025,ITM
TJPN25P4 110.750 Comdty,0.3125,0.3125,7/22/2025,ITM
TJPN25P4 111.250 Comdty,0.609375,0.609375,7/22/2025,ITM
TJPN25P4 111.250 Comdty,0.609375,0.609375,7/22/2025,ITM
TJPN25P4 111.500 Comdty,0.8125,0.8125,7/22/2025,ITM
TJPN25P4 111.750 Comdty,1.03125,1.03125,7/22/2025,ITM
TJPN25P4 112.000 Comdty,1.265625,1.265625,7/22/2025,ITM
TJPN25P4 112.250 Comdty,1.515625,1.515625,7/22/2025,ITM
TYWN25C4 112.250 Comdty,0.03125,0.03125,7/23/2025,OTM
TYWN25C4 112.000 Comdty,0.046875,0.046875,7/23/2025,OTM
TYWN25C4 111.750 Comdty,0.0625,0.0625,7/23/2025,OTM
TYWN25C4 111.500 Comdty,0.09375,0.09375,7/23/2025,OTM
TYWN25C4 111.250 Comdty,0.15625,0.15625,7/23/2025,OTM
TYWN25C4 111.000 Comdty,0.234375,0.234375,7/23/2025,OTM
TYWN25C4 110.750 Comdty,0.34375,0.34375,7/23/2025,OTM
TYWN25P4 110.750 Comdty,0.328125,0.328125,7/23/2025,OTM
TYWN25P4 110.250 Comdty,0.140625,0.140625,7/23/2025,OTM
TYWN25P4 110.250 Comdty,0.140625,0.140625,7/23/2025,OTM
TYWN25P4 110.000 Comdty,0.09375,0.09375,7/23/2025,OTM
TYWN25P4 109.750 Comdty,0.0625,0.0625,7/23/2025,OTM
TYWN25P4 109.500 Comdty,0.03125,0.03125,7/23/2025,OTM
TYWN25P4 109.250 Comdty,0.015625,0.015625,7/23/2025,OTM
TYWN25C4 109.250 Comdty,1.53125,1.53125,7/23/2025,ITM
TYWN25C4 109.500 Comdty,1.296875,1.296875,7/23/2025,ITM
TYWN25C4 109.750 Comdty,1.078125,1.078125,7/23/2025,ITM
TYWN25C4 110.000 Comdty,0.859375,0.859375,7/23/2025,ITM
TYWN25C4 110.250 Comdty,0.65625,0.65625,7/23/2025,ITM
TYWN25C4 110.500 Comdty,0.484375,0.484375,7/23/2025,ITM
TYWN25C4 110.750 Comdty,0.34375,0.34375,7/23/2025,ITM
TYWN25P4 110.750 Comdty,0.328125,0.328125,7/23/2025,ITM
TYWN25P4 111.250 Comdty,0.640625,0.640625,7/23/2025,ITM
TYWN25P4 111.250 Comdty,0.640625,0.640625,7/23/2025,ITM
TYWN25P4 111.500 Comdty,0.828125,0.828125,7/23/2025,ITM
TYWN25P4 111.750 Comdty,1.046875,1.046875,7/23/2025,ITM
TYWN25P4 112.000 Comdty,1.28125,1.28125,7/23/2025,ITM
TYWN25P4 112.250 Comdty,1.515625,1.515625,7/23/2025,ITM
TJWN25C4 112.250 Comdty,0.046875,0.046875,7/24/2025,OTM
TJWN25C4 112.000 Comdty,0.0625,0.0625,7/24/2025,OTM
TJWN25C4 111.750 Comdty,0.078125,0.078125,7/24/2025,OTM
TJWN25C4 111.500 Comdty,0.125,0.125,7/24/2025,OTM
TJWN25C4 111.250 Comdty,0.171875,0.171875,7/24/2025,OTM
TJWN25C4 111.000 Comdty,0.265625,0.265625,7/24/2025,OTM
TJWN25C4 110.750 Comdty,0.375,0.375,7/24/2025,OTM
TJWN25P4 110.750 Comdty,0.359375,0.359375,7/24/2025,OTM
TJWN25P4 110.250 Comdty,0.171875,0.171875,7/24/2025,OTM
TJWN25P4 110.250 Comdty,0.171875,0.171875,7/24/2025,OTM
TJWN25P4 110.000 Comdty,0.109375,0.109375,7/24/2025,OTM
TJWN25P4 109.750 Comdty,0.078125,0.078125,7/24/2025,OTM
TJWN25P4 109.500 Comdty,0.046875,0.046875,7/24/2025,OTM
TJWN25P4 109.250 Comdty,0.03125,0.03125,7/24/2025,OTM
TJWN25C4 109.250 Comdty,1.546875,1.546875,7/24/2025,ITM
TJWN25C4 109.500 Comdty,1.3125,1.3125,7/24/2025,ITM
TJWN25C4 109.750 Comdty,1.09375,1.09375,7/24/2025,ITM
TJWN25C4 110.000 Comdty,0.875,0.875,7/24/2025,ITM
TJWN25C4 110.250 Comdty,0.6875,0.6875,7/24/2025,ITM
TJWN25C4 110.500 Comdty,0.515625,0.515625,7/24/2025,ITM
TJWN25C4 110.750 Comdty,0.375,0.375,7/24/2025,ITM
TJWN25P4 110.750 Comdty,0.359375,0.359375,7/24/2025,ITM
TJWN25P4 111.250 Comdty,0.65625,0.65625,7/24/2025,ITM
TJWN25P4 111.250 Comdty,0.65625,0.65625,7/24/2025,ITM
TJWN25P4 111.500 Comdty,0.859375,0.859375,7/24/2025,ITM
TJWN25P4 111.750 Comdty,1.0625,1.0625,7/24/2025,ITM
TJWN25P4 112.000 Comdty,1.296875,1.296875,7/24/2025,ITM
TJWN25P4 112.250 Comdty,1.53125,1.53125,7/24/2025,ITM
TYQ5C 112.250 Comdty,0.046875,0.046875,7/25/2025,OTM
TYQ5C 112.000 Comdty,0.0625,0.0625,7/25/2025,OTM
TYQ5C 111.750 Comdty,0.09375,0.09375,7/25/2025,OTM
TYQ5C 111.500 Comdty,0.140625,0.140625,7/25/2025,OTM
TYQ5C 111.250 Comdty,0.203125,0.203125,7/25/2025,OTM
TYQ5C 111.000 Comdty,0.28125,0.28125,7/25/2025,OTM
TYQ5C 110.750 Comdty,0.390625,0.390625,7/25/2025,OTM
TYQ5P 110.750 Comdty,0.375,0.375,7/25/2025,OTM
TYQ5P 110.250 Comdty,0.1875,0.1875,7/25/2025,OTM
TYQ5P 110.250 Comdty,0.1875,0.1875,7/25/2025,OTM
TYQ5P 110.000 Comdty,0.125,0.125,7/25/2025,OTM
TYQ5P 109.750 Comdty,0.078125,0.078125,7/25/2025,OTM
TYQ5P 109.500 Comdty,0.046875,0.046875,7/25/2025,OTM
TYQ5P 109.250 Comdty,0.03125,0.03125,7/25/2025,OTM
TYQ5C 109.250 Comdty,1.546875,1.546875,7/25/2025,ITM
TYQ5C 109.500 Comdty,1.3125,1.3125,7/25/2025,ITM
TYQ5C 109.750 Comdty,1.09375,1.09375,7/25/2025,ITM
TYQ5C 110.000 Comdty,0.890625,0.890625,7/25/2025,ITM
TYQ5C 110.250 Comdty,0.703125,0.703125,7/25/2025,ITM
TYQ5C 110.500 Comdty,0.53125,0.53125,7/25/2025,ITM
TYQ5C 110.750 Comdty,0.390625,0.390625,7/25/2025,ITM
TYQ5P 110.750 Comdty,0.375,0.375,7/25/2025,ITM
TYQ5P 111.250 Comdty,0.6875,0.6875,7/25/2025,ITM
TYQ5P 111.250 Comdty,0.6875,0.6875,7/25/2025,ITM
TYQ5P 111.500 Comdty,0.875,0.875,7/25/2025,ITM
TYQ5P 111.750 Comdty,1.078125,1.078125,7/25/2025,ITM
TYQ5P 112.000 Comdty,1.296875,1.296875,7/25/2025,ITM
TYQ5P 112.250 Comdty,1.53125,1.53125,7/25/2025,ITM
