Symbol,Flash_Close,Prior_Close,EXPIRE_DT,MONEYNESS
ZN3N5 P 110.000,0.0,,2025-07-18,-1.0
ZN3N5 P 109.750,0.0,,2025-07-18,-1.0
ZN3N5 P 109.500,0.0,,2025-07-18,-1.0
ZN3N5 P 109.250,0.0,,2025-07-18,-1.0
ZN3N5 C 109.250,1.28125,,2025-07-18,1.0
ZN3N5 C 109.500,1.03125,,2025-07-18,1.0
ZN3N5 C 109.750,0.78125,,2025-07-18,1.0
ZN3N5 C 110.000,0.46875,,2025-07-18,1.0
ZN3N5 C 110.250,0.28125,,2025-07-18,1.0
ZN3N5 C 110.500,0.125,,2025-07-18,1.0
ZN3N5 P 111.000,0.390625,,2025-07-18,1.0
ZN3N5 P 111.250,0.734375,,2025-07-18,1.0
ZN3N5 P 111.500,0.875,,2025-07-18,1.0
ZN3N5 P 111.750,1.125,,2025-07-18,1.0
ZN3N5 P 112.000,1.375,,2025-07-18,1.0
ZN3N5 P 112.250,1.71875,,2025-07-18,1.0
VY3N5 C 112.250,0.001,,2025-07-21,-1.0
VY3N5 C 112.000,0.001,,2025-07-21,-1.0
VY3N5 C 111.750,0.001,,2025-07-21,-1.0
VY3N5 C 111.500,0.015625,,2025-07-21,-1.0
VY3N5 C 111.250,0.015625,,2025-07-21,-1.0
VY3N5 C 111.000,0.03125,,2025-07-21,-1.0
VY3N5 C 110.750,0.0625,,2025-07-21,1.0
VY3N5 P 110.750,0.28125,,2025-07-21,1.0
VY3N5 P 110.250,0.0625,,2025-07-21,-1.0
VY3N5 P 110.000,0.015625,,2025-07-21,-1.0
VY3N5 P 109.750,0.03125,,2025-07-21,-1.0
VY3N5 P 109.500,0.001,,2025-07-21,-1.0
VY3N5 P 109.250,0.001,,2025-07-21,-1.0
VY3N5 C 109.250,1.34375,,2025-07-21,1.0
VY3N5 C 109.500,1.125,,2025-07-21,1.0
VY3N5 C 109.750,0.734375,,2025-07-21,1.0
VY3N5 C 110.000,0.609375,,2025-07-21,1.0
VY3N5 C 110.250,0.390625,,2025-07-21,1.0
VY3N5 C 110.500,0.171875,,2025-07-21,1.0
VY3N5 P 111.250,0.65625,,2025-07-21,1.0
VY3N5 P 111.500,0.75,,2025-07-21,1.0
VY3N5 P 111.750,1.125,,2025-07-21,1.0
VY3N5 P 112.000,1.390625,,2025-07-21,1.0
VY3N5 P 112.250,1.625,,2025-07-21,1.0
GY4N5 P 112.250,0.001,,2025-07-22,-1.0
GY4N5 P 112.000,0.001,,2025-07-22,-1.0
GY4N5 P 111.750,0.015625,,2025-07-22,-1.0
GY4N5 P 111.500,0.015625,,2025-07-22,-1.0
GY4N5 P 111.250,0.046875,,2025-07-22,-1.0
GY4N5 P 111.000,0.09375,,2025-07-22,-1.0
GY4N5 P 110.750,0.1875,,2025-07-22,1.0
GY4N5 P 110.750,0.25,,2025-07-22,1.0
GY4N5 P 110.250,0.078125,,2025-07-22,-1.0
GY4N5 P 110.000,0.03125,,2025-07-22,-1.0
GY4N5 P 109.750,0.03125,,2025-07-22,-1.0
GY4N5 P 109.500,0.015625,,2025-07-22,-1.0
GY4N5 P 109.250,0.001,,2025-07-22,-1.0
GY4N5 P 109.250,1.375,,2025-07-22,1.0
GY4N5 P 109.500,0.96875,,2025-07-22,1.0
GY4N5 P 109.750,0.828125,,2025-07-22,1.0
GY4N5 P 110.000,0.515625,,2025-07-22,1.0
GY4N5 P 110.250,0.359375,,2025-07-22,1.0
GY4N5 P 110.500,0.3125,,2025-07-22,1.0
GY4N5 P 111.250,0.65625,,2025-07-22,1.0
GY4N5 P 111.500,0.90625,,2025-07-22,1.0
GY4N5 P 111.750,1.140625,,2025-07-22,1.0
GY4N5 P 112.000,1.375,,2025-07-22,1.0
GY4N5 P 112.250,1.671875,,2025-07-22,1.0
WY4N5 C 112.250,0.0,,2025-07-23,-1.0
WY4N5 C 112.000,0.015625,,2025-07-23,-1.0
WY4N5 C 111.750,0.03125,,2025-07-23,-1.0
WY4N5 C 111.500,0.03125,,2025-07-23,-1.0
WY4N5 C 111.250,0.03125,,2025-07-23,-1.0
WY4N5 C 111.000,0.0625,,2025-07-23,-1.0
WY4N5 C 110.750,0.1875,,2025-07-23,1.0
WY4N5 P 110.750,0.265625,,2025-07-23,1.0
WY4N5 P 110.250,0.109375,,2025-07-23,-1.0
WY4N5 P 110.000,0.0625,,2025-07-23,-1.0
WY4N5 P 109.750,0.015625,,2025-07-23,-1.0
WY4N5 P 109.500,0.03125,,2025-07-23,-1.0
WY4N5 P 109.250,0.015625,,2025-07-23,-1.0
WY4N5 C 109.250,1.390625,,2025-07-23,1.0
WY4N5 C 109.500,1.046875,,2025-07-23,1.0
WY4N5 C 109.750,0.890625,,2025-07-23,1.0
WY4N5 C 110.000,0.53125,,2025-07-23,1.0
WY4N5 C 110.250,0.546875,,2025-07-23,1.0
WY4N5 C 110.500,0.234375,,2025-07-23,1.0
WY4N5 P 111.250,0.625,,2025-07-23,1.0
WY4N5 P 111.500,0.953125,,2025-07-23,1.0
WY4N5 P 111.750,1.15625,,2025-07-23,1.0
WY4N5 P 112.000,1.390625,,2025-07-23,1.0
WY4N5 P 112.250,1.625,,2025-07-23,1.0
HY4N5 C 112.250,0.015625,,2025-07-24,-1.0
HY4N5 C 112.000,0.03125,,2025-07-24,-1.0
HY4N5 C 111.750,0.03125,,2025-07-24,-1.0
HY4N5 C 111.500,0.03125,,2025-07-24,-1.0
HY4N5 C 111.250,0.046875,,2025-07-24,-1.0
HY4N5 C 111.000,0.15625,,2025-07-24,-1.0
HY4N5 C 110.750,0.1875,,2025-07-24,1.0
HY4N5 P 110.750,0.3125,,2025-07-24,1.0
HY4N5 P 110.250,0.109375,,2025-07-24,-1.0
HY4N5 P 110.000,0.0625,,2025-07-24,-1.0
HY4N5 P 109.750,0.0625,,2025-07-24,-1.0
HY4N5 P 109.500,0.03125,,2025-07-24,-1.0
HY4N5 P 109.250,0.03125,,2025-07-24,-1.0
HY4N5 C 109.250,1.328125,,2025-07-24,1.0
HY4N5 C 109.500,1.15625,,2025-07-24,1.0
HY4N5 C 109.750,0.859375,,2025-07-24,1.0
HY4N5 C 110.000,0.640625,,2025-07-24,1.0
HY4N5 C 110.250,0.453125,,2025-07-24,1.0
HY4N5 C 110.500,0.328125,,2025-07-24,1.0
HY4N5 P 111.250,0.78125,,2025-07-24,1.0
HY4N5 P 111.500,1.0,,2025-07-24,1.0
HY4N5 P 111.750,1.078125,,2025-07-24,1.0
HY4N5 P 112.000,1.40625,,2025-07-24,1.0
HY4N5 P 112.250,1.734375,,2025-07-24,1.0
TYQ5C C 112.250,0.015625,,2025-07-25,-1.0
TYQ5C C 112.000,0.015625,,2025-07-25,-1.0
TYQ5C C 111.750,0.03125,,2025-07-25,-1.0
TYQ5C C 111.500,0.03125,,2025-07-25,-1.0
TYQ5C C 111.250,0.0625,,2025-07-25,-1.0
TYQ5C C 111.000,0.109375,,2025-07-25,-1.0
TYQ5C C 110.750,0.1875,,2025-07-25,1.0
TYQ5P P 110.750,0.359375,,2025-07-25,1.0
TYQ5P P 110.250,0.171875,,2025-07-25,-1.0
TYQ5P P 110.000,0.09375,,2025-07-25,-1.0
TYQ5P P 109.750,0.0625,,2025-07-25,-1.0
TYQ5P P 109.500,0.03125,,2025-07-25,-1.0
TYQ5P P 109.250,0.03125,,2025-07-25,-1.0
TYQ5C C 109.250,1.46875,,2025-07-25,1.0
TYQ5C C 109.500,1.0625,,2025-07-25,1.0
TYQ5C C 109.750,0.828125,,2025-07-25,1.0
TYQ5C C 110.000,0.703125,,2025-07-25,1.0
TYQ5C C 110.250,0.546875,,2025-07-25,1.0
TYQ5C C 110.500,0.296875,,2025-07-25,1.0
TYQ5P P 111.250,0.71875,,2025-07-25,1.0
TYQ5P P 111.500,0.9375,,2025-07-25,1.0
TYQ5P P 111.750,1.171875,,2025-07-25,1.0
TYQ5P P 112.000,1.46875,,2025-07-25,1.0
TYQ5P P 112.250,1.703125,,2025-07-25,1.0
VY2N5 C 110.750,,0.015625,,
VY2N5 C 109.250,,1.515625,,
VY2N5 C 109.500,,1.265625,,
VY2N5 C 109.750,,1.015625,,
VY2N5 C 110.000,,0.765625,,
VY2N5 C 110.250,,0.515625,,
VY2N5 C 110.500,,0.265625,,
VY2N5 P 111.000,,0.234375,,
VY2N5 P 111.250,,0.484375,,
VY2N5 P 111.500,,0.734375,,
VY2N5 P 111.750,,0.984375,,
VY2N5 P 112.000,,1.234375,,
VY2N5 P 112.250,,1.484375,,
GY3N5 P 110.750,,0.46875,,
GY3N5 P 110.500,,0.21875,,
GY3N5 P 109.250,,1.03125,,
GY3N5 P 109.500,,0.78125,,
GY3N5 P 109.750,,0.53125,,
GY3N5 P 110.000,,0.28125,,
GY3N5 P 110.250,,0.03125,,
GY3N5 P 111.000,,0.71875,,
GY3N5 P 111.250,,0.96875,,
GY3N5 P 111.500,,1.21875,,
GY3N5 P 111.750,,1.46875,,
GY3N5 P 112.000,,1.71875,,
GY3N5 P 112.250,,1.96875,,
WY3N5 C 112.250,,0.0,,
WY3N5 C 112.000,,0.0,,
WY3N5 C 111.750,,0.0,,
WY3N5 C 111.500,,0.0,,
WY3N5 C 111.250,,0.0,,
WY3N5 C 111.000,,0.0,,
WY3N5 C 110.750,,0.0,,
WY3N5 P 110.750,,0.125,,
WY3N5 P 110.500,,0.0,,
WY3N5 P 110.250,,0.0,,
WY3N5 P 110.000,,0.0,,
WY3N5 P 109.750,,0.0,,
WY3N5 P 109.500,,0.0,,
WY3N5 P 109.250,,0.0,,
WY3N5 C 109.250,,1.375,,
WY3N5 C 109.500,,1.125,,
WY3N5 C 109.750,,0.875,,
WY3N5 C 110.000,,0.625,,
WY3N5 C 110.250,,0.375,,
WY3N5 C 110.500,,0.125,,
WY3N5 P 111.000,,0.375,,
WY3N5 P 111.250,,0.625,,
WY3N5 P 111.500,,0.875,,
WY3N5 P 111.750,,1.125,,
WY3N5 P 112.000,,1.375,,
WY3N5 P 112.250,,1.625,,
