SYMBOL,LAST_PRICE,PX_SETTLE,Expiry Date,Settle Price = Today
TYWN25C5 109.25 COMB Comdty,-2146826238,1.515625,2025-07-30,N
TYWN25C5 109 COMB Comdty,-2146826238,1.765625,2025-07-30,N
TYWN25C5 108.75 COMB Comdty,-2146826238,2.015625,2025-07-30,N
TYWN25C5 108.5 COMB Comdty,-2146826238,2.265625,2025-07-30,N
1MQ5P    114.25 COMB Comdty,-2146826238,3.484375,2025-08-01,N
1MQ5P    114 COMB Comdty,-2146826238,3.234375,2025-08-01,N
1MQ5P    113.75 COMB Comdty,-2146826238,2.984375,2025-08-01,N
1MQ5P    113.5 COMB Comdty,-2146826238,2.734375,2025-08-01,N
1MQ5P    113.25 COMB Comdty,-2146826238,2.484375,2025-08-01,N
1MQ5P    113 COMB Comdty,-2146826238,2.234375,2025-08-01,N
1MQ5P    112.75 COMB Comdty,-2146826238,2.0,2025-08-01,N
1MQ5P    112.5 COMB Comdty,-2146826238,1.75,2025-08-01,N
1MQ5P    112.25 COMB Comdty,-2146826238,1.5,2025-08-01,N
1MQ5P    112 COMB Comdty,-2146826238,1.265625,2025-08-01,N
1MQ5P    111.75 COMB Comdty,-2146826238,1.03125,2025-08-01,N
1MQ5P    111.5 COMB Comdty,-2146826238,0.828125,2025-08-01,N
1MQ5P    111.25 COMB Comdty,-2146826238,0.640625,2025-08-01,N
1MQ5P    111 COMB Comdty,-2146826238,0.46875,2025-08-01,N
1MQ5P    110.75 COMB Comdty,-2146826238,0.328125,2025-08-01,N
1MQ5P    110.5 COMB Comdty,-2146826238,0.21875,2025-08-01,N
1MQ5P    110.25 COMB Comdty,-2146826238,0.140625,2025-08-01,N
1MQ5P    110 COMB Comdty,-2146826238,0.078125,2025-08-01,N
1MQ5P    109.75 COMB Comdty,-2146826238,0.046875,2025-08-01,N
1MQ5P    109.5 COMB Comdty,-2146826238,0.03125,2025-08-01,N
1MQ5P    109.25 COMB Comdty,-2146826238,0.015625,2025-08-01,N
1MQ5P    109 COMB Comdty,-2146826238,0.0010000001639127731,2025-08-01,N
1MQ5P    108.75 COMB Comdty,-2146826238,0.0010000001639127731,2025-08-01,N
1MQ5P    108.5 COMB Comdty,-2146826238,0.0010000001639127731,2025-08-01,N
1MQ5C    114.25 COMB Comdty,-2146826238,0.0010000001639127731,2025-08-01,N
1MQ5C    114 COMB Comdty,-2146826238,0.0010000001639127731,2025-08-01,N
1MQ5C    113.75 COMB Comdty,-2146826238,0.0010000001639127731,2025-08-01,N
1MQ5C    113.5 COMB Comdty,-2146826238,0.0010000001639127731,2025-08-01,N
1MQ5C    113.25 COMB Comdty,-2146826238,0.0010000001639127731,2025-08-01,N
1MQ5C    113 COMB Comdty,-2146826238,0.0010000001639127731,2025-08-01,N
1MQ5C    112.75 COMB Comdty,-2146826238,0.015625,2025-08-01,N
1MQ5C    112.5 COMB Comdty,-2146826238,0.015625,2025-08-01,N
1MQ5C    112.25 COMB Comdty,-2146826238,0.015625,2025-08-01,N
1MQ5C    112 COMB Comdty,-2146826238,0.03125,2025-08-01,N
1MQ5C    111.75 COMB Comdty,-2146826238,0.046875,2025-08-01,N
1MQ5C    111.5 COMB Comdty,-2146826238,0.09375,2025-08-01,N
1MQ5C    111.25 COMB Comdty,-2146826238,0.15625,2025-08-01,N
1MQ5C    111 COMB Comdty,-2146826238,0.234375,2025-08-01,N
1MQ5C    110.75 COMB Comdty,-2146826238,0.34375,2025-08-01,N
1MQ5C    110.5 COMB Comdty,-2146826238,0.484375,2025-08-01,N
1MQ5C    110.25 COMB Comdty,-2146826238,0.65625,2025-08-01,N
1MQ5C    110 COMB Comdty,-2146826238,0.84375,2025-08-01,N
1MQ5C    109.75 COMB Comdty,-2146826238,1.0625,2025-08-01,N
1MQ5C    109.5 COMB Comdty,-2146826238,1.296875,2025-08-01,N
1MQ5C    109.25 COMB Comdty,-2146826238,1.53125,2025-08-01,N
1MQ5C    109 COMB Comdty,-2146826238,1.765625,2025-08-01,N
1MQ5C    108.75 COMB Comdty,-2146826238,2.015625,2025-08-01,N
1MQ5C    108.5 COMB Comdty,-2146826238,2.265625,2025-08-01,N
VBYQ25P1 114.25 Comdty,-2146826238,3.484375,2025-08-04,N
VBYQ25P1 114 Comdty,-2146826238,3.234375,2025-08-04,N
VBYQ25P1 113.75 Comdty,-2146826238,2.984375,2025-08-04,N
VBYQ25P1 113.5 Comdty,-2146826238,2.734375,2025-08-04,N
VBYQ25P1 113.25 Comdty,-2146826238,2.5,2025-08-04,N
VBYQ25P1 113 Comdty,-2146826238,2.25,2025-08-04,N
VBYQ25P1 112.75 Comdty,-2146826238,2.0,2025-08-04,N
VBYQ25P1 112.5 Comdty,-2146826238,1.75,2025-08-04,N
VBYQ25P1 112.25 Comdty,-2146826238,1.5,2025-08-04,N
VBYQ25P1 112 Comdty,-2146826238,1.265625,2025-08-04,N
VBYQ25P1 111.75 Comdty,-2146826238,1.046875,2025-08-04,N
VBYQ25P1 111.5 Comdty,-2146826238,0.84375,2025-08-04,N
VBYQ25P1 111.25 Comdty,-2146826238,0.65625,2025-08-04,N
VBYQ25P1 111 Comdty,-2146826238,0.484375,2025-08-04,N
VBYQ25P1 110.75 Comdty,-2146826238,0.34375,2025-08-04,N
VBYQ25P1 110.5 Comdty,-2146826238,0.234375,2025-08-04,N
VBYQ25P1 110.25 Comdty,-2146826238,0.15625,2025-08-04,N
VBYQ25P1 110 Comdty,-2146826238,0.09375,2025-08-04,N
VBYQ25P1 109.75 Comdty,-2146826238,0.0625,2025-08-04,N
VBYQ25P1 109.5 Comdty,-2146826238,0.03125,2025-08-04,N
VBYQ25P1 109.25 Comdty,-2146826238,0.015625,2025-08-04,N
VBYQ25P1 109 Comdty,-2146826238,0.015625,2025-08-04,N
VBYQ25P1 108.75 Comdty,-2146826238,0.0010000001639127731,2025-08-04,N
VBYQ25P1 108.5 Comdty,-2146826238,0.0010000001639127731,2025-08-04,N
VBYQ25C1 114.25 Comdty,-2146826238,0.0010000001639127731,2025-08-04,N
VBYQ25C1 114 Comdty,-2146826238,0.0010000001639127731,2025-08-04,N
VBYQ25C1 113.75 Comdty,-2146826238,0.0010000001639127731,2025-08-04,N
VBYQ25C1 113.5 Comdty,-2146826238,0.0010000001639127731,2025-08-04,N
VBYQ25C1 113.25 Comdty,-2146826238,0.015625,2025-08-04,N
VBYQ25C1 113 Comdty,-2146826238,0.015625,2025-08-04,N
VBYQ25C1 112.75 Comdty,-2146826238,0.015625,2025-08-04,N
VBYQ25C1 112.5 Comdty,-2146826238,0.015625,2025-08-04,N
VBYQ25C1 112.25 Comdty,-2146826238,0.015625,2025-08-04,N
VBYQ25C1 112 Comdty,-2146826238,0.03125,2025-08-04,N
VBYQ25C1 111.75 Comdty,-2146826238,0.0625,2025-08-04,N
VBYQ25C1 111.5 Comdty,-2146826238,0.109375,2025-08-04,N
VBYQ25C1 111.25 Comdty,-2146826238,0.171875,2025-08-04,N
VBYQ25C1 111 Comdty,-2146826238,0.25,2025-08-04,N
VBYQ25C1 110.75 Comdty,-2146826238,0.359375,2025-08-04,N
VBYQ25C1 110.5 Comdty,-2146826238,0.5,2025-08-04,N
VBYQ25C1 110.25 Comdty,-2146826238,0.671875,2025-08-04,N
VBYQ25C1 110 Comdty,-2146826238,0.859375,2025-08-04,N
VBYQ25C1 109.75 Comdty,-2146826238,1.078125,2025-08-04,N
VBYQ25C1 109.5 Comdty,-2146826238,1.296875,2025-08-04,N
VBYQ25C1 109.25 Comdty,-2146826238,1.53125,2025-08-04,N
VBYQ25C1 109 Comdty,-2146826238,1.78125,2025-08-04,N
VBYQ25C1 108.75 Comdty,-2146826238,2.015625,2025-08-04,N
VBYQ25C1 108.5 Comdty,-2146826238,2.265625,2025-08-04,N
TJPQ25P1 114.25 Comdty,-2146826238,3.484375,2025-08-05,N
TJPQ25P1 114 Comdty,-2146826238,3.234375,2025-08-05,N
TJPQ25P1 113.75 Comdty,-2146826238,2.984375,2025-08-05,N
TJPQ25P1 113.5 Comdty,-2146826238,2.734375,2025-08-05,N
TJPQ25P1 113.25 Comdty,-2146826238,2.5,2025-08-05,N
TJPQ25P1 113 Comdty,-2146826238,2.25,2025-08-05,N
TJPQ25P1 112.75 Comdty,-2146826238,2.0,2025-08-05,N
TJPQ25P1 112.5 Comdty,-2146826238,1.75,2025-08-05,N
TJPQ25P1 112.25 Comdty,-2146826238,1.515625,2025-08-05,N
TJPQ25P1 112 Comdty,-2146826238,1.28125,2025-08-05,N
TJPQ25P1 111.75 Comdty,-2146826238,1.0625,2025-08-05,N
TJPQ25P1 111.5 Comdty,-2146826238,0.859375,2025-08-05,N
TJPQ25P1 111.25 Comdty,-2146826238,0.671875,2025-08-05,N
TJPQ25P1 111 Comdty,-2146826238,0.515625,2025-08-05,N
TJPQ25P1 110.75 Comdty,-2146826238,0.375,2025-08-05,N
TJPQ25P1 110.5 Comdty,-2146826238,0.265625,2025-08-05,N
TJPQ25P1 110.25 Comdty,-2146826238,0.171875,2025-08-05,N
TJPQ25P1 110 Comdty,-2146826238,0.109375,2025-08-05,N
TJPQ25P1 109.75 Comdty,-2146826238,0.078125,2025-08-05,N
TJPQ25P1 109.5 Comdty,-2146826238,0.046875,2025-08-05,N
TJPQ25P1 109.25 Comdty,-2146826238,0.03125,2025-08-05,N
TJPQ25P1 109 Comdty,-2146826238,0.015625,2025-08-05,N
TJPQ25P1 108.75 Comdty,-2146826238,0.015625,2025-08-05,N
TJPQ25P1 108.5 Comdty,-2146826238,0.0010000001639127731,2025-08-05,N
TJPQ25C1 114.25 Comdty,-2146826238,0.0010000001639127731,2025-08-05,N
TJPQ25C1 114 Comdty,-2146826238,0.0010000001639127731,2025-08-05,N
TJPQ25C1 113.75 Comdty,-2146826238,0.0010000001639127731,2025-08-05,N
TJPQ25C1 113.5 Comdty,-2146826238,0.0010000001639127731,2025-08-05,N
TJPQ25C1 113.25 Comdty,-2146826238,0.015625,2025-08-05,N
TJPQ25C1 113 Comdty,-2146826238,0.015625,2025-08-05,N
TJPQ25C1 112.75 Comdty,-2146826238,0.015625,2025-08-05,N
TJPQ25C1 112.5 Comdty,-2146826238,0.015625,2025-08-05,N
TJPQ25C1 112.25 Comdty,-2146826238,0.03125,2025-08-05,N
TJPQ25C1 112 Comdty,-2146826238,0.046875,2025-08-05,N
TJPQ25C1 111.75 Comdty,-2146826238,0.078125,2025-08-05,N
TJPQ25C1 111.5 Comdty,-2146826238,0.125,2025-08-05,N
TJPQ25C1 111.25 Comdty,-2146826238,0.1875,2025-08-05,N
TJPQ25C1 111 Comdty,-2146826238,0.28125,2025-08-05,N
TJPQ25C1 110.75 Comdty,-2146826238,0.390625,2025-08-05,N
TJPQ25C1 110.5 Comdty,-2146826238,0.53125,2025-08-05,N
TJPQ25C1 110.25 Comdty,-2146826238,0.6875,2025-08-05,N
TJPQ25C1 110 Comdty,-2146826238,0.875,2025-08-05,N
TJPQ25C1 109.75 Comdty,-2146826238,1.09375,2025-08-05,N
TJPQ25C1 109.5 Comdty,-2146826238,1.3125,2025-08-05,N
TJPQ25C1 109.25 Comdty,-2146826238,1.546875,2025-08-05,N
TJPQ25C1 109 Comdty,-2146826238,1.78125,2025-08-05,N
TJPQ25C1 108.75 Comdty,-2146826238,2.03125,2025-08-05,N
TJPQ25C1 108.5 Comdty,-2146826238,2.265625,2025-08-05,N
TYWQ25P1 114.25 COMB Comdty,-2146826238,3.5,2025-08-06,N
TYWQ25P1 114 COMB Comdty,-2146826238,3.25,2025-08-06,N
TYWQ25P1 113.75 COMB Comdty,-2146826238,3.0,2025-08-06,N
TYWQ25P1 113.5 COMB Comdty,-2146826238,2.75,2025-08-06,N
TYWQ25P1 113.25 COMB Comdty,-2146826238,2.5,2025-08-06,N
TYWQ25P1 113 COMB Comdty,-2146826238,2.25,2025-08-06,N
TYWQ25P1 112.75 COMB Comdty,-2146826238,2.0,2025-08-06,N
TYWQ25P1 112.5 COMB Comdty,-2146826238,1.765625,2025-08-06,N
TYWQ25P1 112.25 COMB Comdty,-2146826238,1.53125,2025-08-06,N
TYWQ25P1 112 COMB Comdty,-2146826238,1.296875,2025-08-06,N
TYWQ25P1 111.75 COMB Comdty,-2146826238,1.078125,2025-08-06,N
TYWQ25P1 111.5 COMB Comdty,-2146826238,0.875,2025-08-06,N
TYWQ25P1 111.25 COMB Comdty,-2146826238,0.6875,2025-08-06,N
TYWQ25P1 111 COMB Comdty,-2146826238,0.53125,2025-08-06,N
TYWQ25P1 110.75 COMB Comdty,-2146826238,0.390625,2025-08-06,N
TYWQ25P1 110.5 COMB Comdty,-2146826238,0.28125,2025-08-06,N
TYWQ25P1 110.25 COMB Comdty,-2146826238,0.1875,2025-08-06,N
TYWQ25P1 110 COMB Comdty,-2146826238,0.125,2025-08-06,N
TYWQ25P1 109.75 COMB Comdty,-2146826238,0.078125,2025-08-06,N
TYWQ25P1 109.5 COMB Comdty,-2146826238,0.046875,2025-08-06,N
TYWQ25P1 109.25 COMB Comdty,-2146826238,0.03125,2025-08-06,N
TYWQ25P1 109 COMB Comdty,-2146826238,0.03125,2025-08-06,N
TYWQ25P1 108.75 COMB Comdty,-2146826238,0.015625,2025-08-06,N
TYWQ25P1 108.5 COMB Comdty,-2146826238,0.0010000001639127731,2025-08-06,N
TYWQ25C1 114.25 COMB Comdty,-2146826238,0.015625,2025-08-06,N
TYWQ25C1 114 COMB Comdty,-2146826238,0.015625,2025-08-06,N
TYWQ25C1 113.75 COMB Comdty,-2146826238,0.015625,2025-08-06,N
TYWQ25C1 113.5 COMB Comdty,-2146826238,0.015625,2025-08-06,N
TYWQ25C1 113.25 COMB Comdty,-2146826238,0.015625,2025-08-06,N
TYWQ25C1 113 COMB Comdty,-2146826238,0.015625,2025-08-06,N
TYWQ25C1 112.75 COMB Comdty,-2146826238,0.015625,2025-08-06,N
TYWQ25C1 112.5 COMB Comdty,-2146826238,0.03125,2025-08-06,N
TYWQ25C1 112.25 COMB Comdty,-2146826238,0.046875,2025-08-06,N
TYWQ25C1 112 COMB Comdty,-2146826238,0.0625,2025-08-06,N
TYWQ25C1 111.75 COMB Comdty,-2146826238,0.09375,2025-08-06,N
TYWQ25C1 111.5 COMB Comdty,-2146826238,0.140625,2025-08-06,N
TYWQ25C1 111.25 COMB Comdty,-2146826238,0.203125,2025-08-06,N
TYWQ25C1 111 COMB Comdty,-2146826238,0.296875,2025-08-06,N
TYWQ25C1 110.75 COMB Comdty,-2146826238,0.40625,2025-08-06,N
TYWQ25C1 110.5 COMB Comdty,-2146826238,0.546875,2025-08-06,N
TYWQ25C1 110.25 COMB Comdty,-2146826238,0.703125,2025-08-06,N
TYWQ25C1 110 COMB Comdty,-2146826238,0.890625,2025-08-06,N
TYWQ25C1 109.75 COMB Comdty,-2146826238,1.09375,2025-08-06,N
TYWQ25C1 109.5 COMB Comdty,-2146826238,1.3125,2025-08-06,N
TYWQ25C1 109.25 COMB Comdty,-2146826238,1.546875,2025-08-06,N
TYWQ25C1 109 COMB Comdty,-2146826238,1.796875,2025-08-06,N
TYWQ25C1 108.75 COMB Comdty,-2146826238,2.03125,2025-08-06,N
TYWQ25C1 108.5 COMB Comdty,-2146826238,2.265625,2025-08-06,N
2MQ5P    114.25 COMB Comdty,-2146826238,3.5,2025-08-08,N
2MQ5P    114 COMB Comdty,-2146826238,3.25,2025-08-08,N
2MQ5P    113.75 COMB Comdty,-2146826238,3.0,2025-08-08,N
2MQ5P    113.5 COMB Comdty,-2146826238,2.75,2025-08-08,N
2MQ5P    113.25 COMB Comdty,-2146826238,2.5,2025-08-08,N
2MQ5P    113 COMB Comdty,-2146826238,2.25,2025-08-08,N
2MQ5P    112.75 COMB Comdty,-2146826238,2.015625,2025-08-08,N
2MQ5P    112.5 COMB Comdty,-2146826238,1.765625,2025-08-08,N
2MQ5P    112.25 COMB Comdty,-2146826238,1.53125,2025-08-08,N
2MQ5P    112 COMB Comdty,-2146826238,1.3125,2025-08-08,N
2MQ5P    111.75 COMB Comdty,-2146826238,1.09375,2025-08-08,N
2MQ5P    111.5 COMB Comdty,-2146826238,0.890625,2025-08-08,N
2MQ5P    111.25 COMB Comdty,-2146826238,0.71875,2025-08-08,N
2MQ5P    111 COMB Comdty,-2146826238,0.5625,2025-08-08,N
2MQ5P    110.75 COMB Comdty,-2146826238,0.421875,2025-08-08,N
2MQ5P    110.5 COMB Comdty,-2146826238,0.3125,2025-08-08,N
2MQ5P    110.25 COMB Comdty,-2146826238,0.21875,2025-08-08,N
2MQ5P    110 COMB Comdty,-2146826238,0.15625,2025-08-08,N
2MQ5P    109.75 COMB Comdty,-2146826238,0.109375,2025-08-08,N
2MQ5P    109.5 COMB Comdty,-2146826238,0.078125,2025-08-08,N
2MQ5P    109.25 COMB Comdty,-2146826238,0.046875,2025-08-08,N
2MQ5P    109 COMB Comdty,-2146826238,0.03125,2025-08-08,N
2MQ5P    108.75 COMB Comdty,-2146826238,0.03125,2025-08-08,N
2MQ5P    108.5 COMB Comdty,-2146826238,0.015625,2025-08-08,N
2MQ5C    114.25 COMB Comdty,-2146826238,0.015625,2025-08-08,N
2MQ5C    114 COMB Comdty,-2146826238,0.015625,2025-08-08,N
2MQ5C    113.75 COMB Comdty,-2146826238,0.015625,2025-08-08,N
2MQ5C    113.5 COMB Comdty,-2146826238,0.015625,2025-08-08,N
2MQ5C    113.25 COMB Comdty,-2146826238,0.015625,2025-08-08,N
2MQ5C    113 COMB Comdty,-2146826238,0.015625,2025-08-08,N
2MQ5C    112.75 COMB Comdty,-2146826238,0.03125,2025-08-08,N
2MQ5C    112.5 COMB Comdty,-2146826238,0.03125,2025-08-08,N
2MQ5C    112.25 COMB Comdty,-2146826238,0.046875,2025-08-08,N
2MQ5C    112 COMB Comdty,-2146826238,0.078125,2025-08-08,N
2MQ5C    111.75 COMB Comdty,-2146826238,0.109375,2025-08-08,N
2MQ5C    111.5 COMB Comdty,-2146826238,0.15625,2025-08-08,N
2MQ5C    111.25 COMB Comdty,-2146826238,0.234375,2025-08-08,N
2MQ5C    111 COMB Comdty,-2146826238,0.328125,2025-08-08,N
2MQ5C    110.75 COMB Comdty,-2146826238,0.4375,2025-08-08,N
2MQ5C    110.5 COMB Comdty,-2146826238,0.578125,2025-08-08,N
2MQ5C    110.25 COMB Comdty,-2146826238,0.734375,2025-08-08,N
2MQ5C    110 COMB Comdty,-2146826238,0.921875,2025-08-08,N
2MQ5C    109.75 COMB Comdty,-2146826238,1.125,2025-08-08,N
2MQ5C    109.5 COMB Comdty,-2146826238,1.34375,2025-08-08,N
2MQ5C    109.25 COMB Comdty,-2146826238,1.5625,2025-08-08,N
2MQ5C    109 COMB Comdty,-2146826238,1.796875,2025-08-08,N
2MQ5C    108.75 COMB Comdty,-2146826238,2.046875,2025-08-08,N
2MQ5C    108.5 COMB Comdty,-2146826238,2.28125,2025-08-08,N
0.0,-2146826238,#N/A Mandatory parameter [SECURITY] cannot be empty,1899-12-30,
0.0,-2146826238,#N/A Mandatory parameter [SECURITY] cannot be empty,1899-12-30,
0.0,-2146826238,#N/A Mandatory parameter [SECURITY] cannot be empty,1899-12-30,
0.0,-2146826238,#N/A Mandatory parameter [SECURITY] cannot be empty,1899-12-30,
0.0,-2146826238,#N/A Mandatory parameter [SECURITY] cannot be empty,1899-12-30,
0.0,-2146826238,#N/A Mandatory parameter [SECURITY] cannot be empty,1899-12-30,
0.0,-2146826238,#N/A Mandatory parameter [SECURITY] cannot be empty,1899-12-30,
0.0,-2146826238,#N/A Mandatory parameter [SECURITY] cannot be empty,1899-12-30,
0.0,-2146826238,#N/A Mandatory parameter [SECURITY] cannot be empty,1899-12-30,
0.0,-2146826238,#N/A Mandatory parameter [SECURITY] cannot be empty,1899-12-30,
0.0,-2146826238,#N/A Mandatory parameter [SECURITY] cannot be empty,1899-12-30,
0.0,-2146826238,#N/A Mandatory parameter [SECURITY] cannot be empty,1899-12-30,
0.0,-2146826238,#N/A Mandatory parameter [SECURITY] cannot be empty,1899-12-30,
0.0,-2146826238,#N/A Mandatory parameter [SECURITY] cannot be empty,1899-12-30,
0.0,-2146826238,#N/A Mandatory parameter [SECURITY] cannot be empty,1899-12-30,
0.0,-2146826238,#N/A Mandatory parameter [SECURITY] cannot be empty,1899-12-30,
